Table of Contents:
        Working -> Command works and has been tested 
        Deving  -> Broken, Bugged or In current development
____________________________________________________________________________________________________
|______________|____________________________________________________________________________________|
|-> Root-cm    | Check and look at all the Root commands for this script                   |Working |
|-> myip       | Gather your local, private, and public IP address                         |Working |
|-> MSF_Session| Gather all current metasploit sessions MUST HAVE MSF ENV EXPORTED         |Working |
|-> iface      | Gather a list of your current interfaces                                  |Working |
|-> dump-pcap  | Dump a pcap file                                                          |Working |
|-> warnings   | View possible warnings that are user based in script [POP UP WILL OCCURE] |Working |
|-> Proto-IP   | Check wether or not an ip address belongs to the proton mail VPN Service  |Working |
|-> Proto-SMTP | Check wether or not an EMAIL address belongs to the proton mail Service   |Working |
|-> D-Cow      | Run the dirty Cow EXPLOIT for file privlege escalation                    |Working |
|-> ver-ip     | Verify if an IP string is correct ( uses regex )                          |Working |
|-> web_view   | View my welcome and thank you page for the helpers of this project        |Working |
|-> .env-v     | Test a list of urls for a .env file extension                             |Working |
|-> loc-dos    | Run a local DOSSING script                                                |Working |
|-> saph       | Run my own forked version of the saphyra HTTP slow down script            |Working |
|-> usr-recon  | Run a user search with defualt URLS                                       |Working |
|-> usr-reconw | Run a user recon search with your own custom list of hosts and files      |Working |
|-> tor-t      | Test tor proxy's standard is SOCKS://5                                    |Working |
|-> ghosted    | Run the ghosted os deletion shell [https://github.com/ArkAngeL43/Ghosted] |Working |
|-> tor-magic  | Run http analyzation on headers using tor                                 |Working |
|-> LDAP-i     | Inject a LDAP server and try to blindly grab user credentials             |Working |
|-> sha1       | Generate a SHA-1 hash                                                     |Working |
|-> sha2       | Generate a sha-2 hash                                                     |Working |
|-> ceaser     | Use the caesar cipher method to generate a password                       |Working |
|-> basic-shod | Run a basic shodan search on a host or search term                        |Working |
|-> port-shod  | Run a basic SHODAN scan to find the ports of a host                       |Working |
|-> acc-shod   | Get basic information on youe shodan API                                  |Working |
|-> hon-shod   | Test the probability of a ip address being a honeypot                     |Working |
|-> asy-shod   | Use async to grab the probability of an IP being a honeypot [shodan]      |Working |
|-> snmp1      | Enumerate SNMP servers to get basic information                           |Working |
|-> trojan-f   | Attempt to identify trojans by scanning a list of ports                   |Working |
|-> PHPBB      | Attempt to get the PHP BB version of a URL                                |Working |
|-> shell-gen  | Generate Shellcode                                                        |Working |
|-> RFI-S      | Scan a website for RFI vulnerabilities ( Remote File Inclusion )          |Deving  |
|-> LFI-S      | Scan a website for LFI vulnerabilities ( Local  File Inclusion )          |Working |
|-> BIN-C      | Scan a binary file for possible Buffer Overflow vulnerabilities           |Working |
|-> CPANEL-B   | Brute force CPANEL hosts with lists of useranmes and saved passwords      |Working |
|-> CPANEL-CVE | Check if you're CPANEL is old or vulnerable to 2006 exploits              |Working |
|-> HTML-DEF   | Deface ALL HTML files in a certian filepath of your system                |Working |
|-> spider-pa  | Run another directory spider for HTTP url's and try to verify them        |Working | 
|-> val-w3c    | W3C Validation script                                                     |Deving  |
|-> doc_fullc  | Run a better more fancier but fully loaded Localhost documentation server |Working |
|--------------|---------------------------------------------------------------------------|--------|
|Total commands| Current command listing => 106                                            |106 Work|
|--------------|--------|------------------------------------------------------------------|--------|
